NCONF: 350000, ETOT(kcal/mol)= 8.01279,  Econf=  -1.76234,   Eprot= 5.29082,   EDebye=  0.16503,   W=  0,   Estr=  2.025,   Ebdn=  2.22375
NCONF: 360000, ETOT(kcal/mol)= 13.6573,  Econf=  -1.20094,   Eprot= 5.29082,   EDebye=  0.169962,   W=  0,   Estr=  6.39,   Ebdn=  3.0075
NCONF: 370000, ETOT(kcal/mol)= 8.90966,  Econf=  -3.29822,   Eprot= 5.29082,   EDebye=  0.122311,   W=  0,   Estr=  3.765,   Ebdn=  3.0625
NCONF: 380000, ETOT(kcal/mol)= 14.1857,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.170748,   W=  0,   Estr=  7.635,   Ebdn=  3.66875
NCONF: 390000, ETOT(kcal/mol)= 17.2005,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.148689,   W=  0,   Estr=  7.395,   Ebdn=  6.8275
NCONF: 400000, ETOT(kcal/mol)= 13.4818,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.128741,   W=  0,   Estr=  3.18,   Ebdn=  7.5275
NCONF: 410000, ETOT(kcal/mol)= 16.6509,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  7.08,   Ebdn=  6.3325
NCONF: 420000, ETOT(kcal/mol)= 18.2955,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.0684587,   W=  0,   Estr=  8.85,   Ebdn=  6.62
NCONF: 430000, ETOT(kcal/mol)= 11.3935,  Econf=  0.781496,   Eprot= 5.29082,   EDebye=  0.135431,   W=  0,   Estr=  1.14,   Ebdn=  3.99125
NCONF: 440000, ETOT(kcal/mol)= 11.8428,  Econf=  -2.26314,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  4.11,   Ebdn=  4.60875
NCONF: 450000, ETOT(kcal/mol)= 14.0592,  Econf=  -3.85963,   Eprot= 5.29082,   EDebye=  0.170351,   W=  0,   Estr=  5.115,   Ebdn=  7.0375
NCONF: 460000, ETOT(kcal/mol)= 17.2117,  Econf=  -2.21424,   Eprot= 5.29082,   EDebye=  0.182245,   W=  0,   Estr=  5.7,   Ebdn=  8.14
NCONF: 470000, ETOT(kcal/mol)= 12.5291,  Econf=  -2.82454,   Eprot= 5.29082,   EDebye=  0.19167,   W=  0,   Estr=  4.23,   Ebdn=  5.54125
NCONF: 480000, ETOT(kcal/mol)= 17.3617,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.173412,   W=  0,   Estr=  7.17,   Ebdn=  6.98875
NCONF: 490000, ETOT(kcal/mol)= 11.6558,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  3.75,   Ebdn=  4.04875
NCONF: 500000, ETOT(kcal/mol)= 10.6889,  Econf=  -2.26314,   Eprot= 5.29082,   EDebye=  0.113341,   W=  0,   Estr=  3.315,   Ebdn=  4.09875
NCONF: 510000, ETOT(kcal/mol)= 9.15813,  Econf=  -3.95066,   Eprot= 5.29082,   EDebye=  0.212961,   W=  0,   Estr=  3.825,   Ebdn=  3.73875
NCONF: 520000, ETOT(kcal/mol)= 9.14055,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.279812,   W=  0,   Estr=  4.065,   Ebdn=  2.0325
NCONF: 530000, ETOT(kcal/mol)= 12.0387,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.142855,   W=  0,   Estr=  6.675,   Ebdn=  1.13
NCONF: 540000, ETOT(kcal/mol)= 15.3391,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.0943661,   W=  0,   Estr=  8.64,   Ebdn=  3.3975
NCONF: 550000, ETOT(kcal/mol)= 11.3711,  Econf=  -4.98574,   Eprot= 5.29082,   EDebye=  0.133417,   W=  0,   Estr=  7.26,   Ebdn=  3.575
NCONF: 560000, ETOT(kcal/mol)= 12.105,  Econf=  -0.727254,   Eprot= 5.29082,   EDebye=  0.232697,   W=  0,   Estr=  3.465,   Ebdn=  3.8425
NCONF: 570000, ETOT(kcal/mol)= 12.6041,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.090029,   W=  0,   Estr=  2.91,   Ebdn=  5.79625
NCONF: 580000, ETOT(kcal/mol)= 14.6853,  Econf=  -0.727254,   Eprot= 5.29082,   EDebye=  0.567986,   W=  0,   Estr=  6.3,   Ebdn=  3.25375
NCONF: 590000, ETOT(kcal/mol)= 9.85342,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.257755,   W=  0,   Estr=  5.055,   Ebdn=  0.89
NCONF: 600000, ETOT(kcal/mol)= 9.00655,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0,   W=  0,   Estr=  3.81,   Ebdn=  1.21625
NCONF: 610000, ETOT(kcal/mol)= 11.8886,  Econf=  -1.78946,   Eprot= 5.29082,   EDebye=  0.419758,   W=  0,   Estr=  5.115,   Ebdn=  3.19875
NCONF: 620000, ETOT(kcal/mol)= 9.34982,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.265338,   W=  0,   Estr=  3.915,   Ebdn=  2.2575
NCONF: 630000, ETOT(kcal/mol)= 14.7856,  Econf=  -0.44656,   Eprot= 5.29082,   EDebye=  0.234438,   W=  0,   Estr=  5.31,   Ebdn=  4.2625
NCONF: 640000, ETOT(kcal/mol)= 16.5414,  Econf=  -2.26314,   Eprot= 5.29082,   EDebye=  0.170655,   W=  0,   Estr=  5.565,   Ebdn=  7.65
NCONF: 650000, ETOT(kcal/mol)= 11.3164,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.481839,   W=  0,   Estr=  2.82,   Ebdn=  4.96625
NCONF: 660000, ETOT(kcal/mol)= 15.6923,  Econf=  -2.54384,   Eprot= 5.29082,   EDebye=  0.164211,   W=  0,   Estr=  5.505,   Ebdn=  7.12625
